<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170105,000000,18.4000000,18.7600000,17.9450000,18.1150000,14265331
20170106,000000,18.1250000,18.3200000,17.9700000,18.3200000,9981728
20170109,000000,18.1900000,18.3350000,17.8500000,18.1000000,8402744
20170110,000000,17.9000000,17.9500000,17.5400000,17.6600000,11501707
20170111,000000,17.6900000,18.1350000,17.6700000,18.0700000,9260354
20170112,000000,18.0300000,18.0500000,17.4150000,17.4450000,8730819
20170113,000000,17.6500000,18.2700000,17.6400000,18.1450000,12288979
20170116,000000,17.9000000,17.9650000,17.5950000,17.5950000,7803363
20170117,000000,17.6000000,17.8930000,17.3100000,17.4750000,11145705
20170118,000000,17.6600000,17.6700000,17.2400000,17.5600000,11715785
20170119,000000,17.6300000,17.9250000,17.5350000,17.7050000,11426256
20170120,000000,17.6300000,18.0800000,17.5650000,18.0600000,14306326
20170123,000000,17.8500000,18.1650000,17.6750000,17.8600000,10726244
20170124,000000,17.8900000,18.3450000,17.8900000,18.3450000,9843073
20170125,000000,18.5050000,19.4950000,18.5050000,19.4000000,19773236
20170126,000000,19.6000000,19.9700000,19.2750000,19.4400000,13755410
20170127,000000,19.5000000,19.5000000,19.0900000,19.1800000,9226275
20170130,000000,19.0000000,19.0500000,18.5600000,18.6100000,8571176
20170131,000000,18.9600000,19.1400000,18.3800000,18.3900000,12524537
20170201,000000,18.6100000,19.1800000,18.4800000,19.1800000,13356816
20170202,000000,18.6500000,18.7500000,17.8200000,18.1800000,25514449
20170203,000000,18.2600000,18.8400000,18.1450000,18.8400000,14727617
20170206,000000,18.8000000,18.8900000,18.4800000,18.4800000,12325843
20170207,000000,18.4100000,18.6050000,18.2300000,18.3100000,9778073
20170208,000000,18.4000000,18.5150000,17.6200000,17.9350000,14508738
20170209,000000,18.0550000,18.1500000,17.7450000,18.0000000,9546676
20170210,000000,18.2200000,18.2400000,17.6850000,17.8000000,8369772
20170213,000000,17.8600000,18.1850000,17.7600000,18.1300000,7407719
20170214,000000,18.1000000,18.4200000,18.0350000,18.4200000,8613611
20170215,000000,18.4800000,19.1950000,18.4600000,18.8850000,14347400
20170216,000000,18.9000000,18.9000000,18.4750000,18.5150000,7133931
20170217,000000,18.5450000,18.6150000,17.8900000,18.2000000,14613159
20170220,000000,18.4500000,18.5200000,18.2900000,18.4950000,5586978
20170221,000000,18.4800000,18.6850000,18.1600000,18.5850000,7863449
20170222,000000,18.5900000,18.8350000,18.3700000,18.5750000,6196512
20170223,000000,18.6200000,18.8750000,18.4450000,18.5550000,6992114
20170224,000000,18.5000000,18.6400000,17.9350000,18.1610000,8516440
20170227,000000,18.1000000,18.4500000,18.1000000,18.3950000,5247593
20170228,000000,18.4950000,18.7500000,18.4350000,18.6300000,6418855
20170301,000000,18.9000000,19.5790000,18.7500000,19.5200000,17483552
20170302,000000,19.6000000,19.7790000,19.3650000,19.4200000,8223660
20170303,000000,19.1450000,19.7950000,18.7000000,19.1200000,17629632
20170306,000000,17.9000000,18.2500000,17.4750000,17.6300000,31933405
20170307,000000,17.4650000,17.5450000,17.0650000,17.3400000,13747712
20170308,000000,17.3200000,17.9000000,17.2550000,17.6650000,13592931
20170309,000000,17.5100000,17.9700000,17.5050000,17.8900000,11176088
20170310,000000,18.0500000,18.4800000,18.0100000,18.3050000,14979501
20170313,000000,18.4500000,18.4600000,18.1100000,18.4000000,7397245
20170314,000000,18.3250000,18.3300000,18.0400000,18.1700000,7737767
20170315,000000,18.1900000,18.4900000,18.1600000,18.3000000,6680979
20170316,000000,18.4000000,18.5000000,18.0350000,18.1300000,10937250
20170317,000000,18.0250000,18.3250000,17.7350000,17.8000000,12971167
20170320,000000,17.5500000,17.7200000,17.0350000,17.3700000,24560614
20170321,000000,15.4550000,16.4740000,15.4200000,16.0550000,37972456
20170322,000000,15.7950000,15.9200000,15.6700000,15.7800000,15689127
20170323,000000,15.7550000,15.7650000,15.5550000,15.7450000,14803908
20170324,000000,15.7100000,15.8900000,15.4900000,15.5650000,11567668
20170327,000000,15.3650000,15.5150000,15.1150000,15.5150000,12631737
20170328,000000,15.5400000,16.0000000,15.5050000,15.9440000,13646419
20170329,000000,16.0300000,16.2800000,15.8300000,16.1550000,19128255
20170330,000000,16.1500000,16.2300000,15.7200000,16.0400000,13332259
20170331,000000,16.0400000,16.1400000,15.8100000,16.1050000,14043303
20170403,000000,15.9350000,16.0250000,15.5950000,15.7000000,17071826
20170404,000000,15.3500000,15.5950000,15.1000000,15.5600000,44748234
20170405,000000,15.7100000,15.9000000,15.5400000,15.6450000,13825808
20170406,000000,15.5000000,15.7200000,15.3150000,15.6850000,10333790
20170407,000000,15.5300000,15.8100000,15.3850000,15.5050000,12606043
20170410,000000,15.5550000,15.6400000,15.3950000,15.5700000,9317639
20170411,000000,15.5050000,15.5450000,15.1800000,15.3200000,12165996
20170412,000000,15.4000000,15.5800000,15.1700000,15.2800000,13016229
20170413,000000,15.1950000,15.2150000,15.0800000,15.1200000,2072428
20170418,000000,15.1450000,15.1700000,14.6950000,14.9800000,14954422
20170419,000000,14.9250000,15.2950000,14.9100000,15.2300000,9597273
20170420,000000,15.0500000,15.4350000,15.0000000,15.3300000,12343816
20170421,000000,15.4250000,15.6200000,15.2750000,15.5850000,13621436
20170424,000000,16.2500000,16.9000000,16.2500000,16.8900000,35974222
20170425,000000,17.0300000,17.1350000,16.7950000,16.9050000,13981357
20170426,000000,17.0250000,17.3600000,16.9600000,17.3350000,13738638
20170427,000000,16.8250000,16.9600000,16.5550000,16.7050000,16318725
20170428,000000,16.5900000,16.8050000,16.4250000,16.6050000,11733467
20170502,000000,16.6950000,16.7550000,16.5700000,16.7050000,8587168
20170503,000000,16.6800000,16.8700000,16.5650000,16.7950000,8206920
20170504,000000,16.9950000,17.2200000,16.8450000,17.1900000,10908996
20170505,000000,17.0800000,17.4650000,16.9500000,17.4250000,12832892
20170508,000000,17.6000000,17.6500000,17.1850000,17.4650000,12935713
20170509,000000,17.4400000,17.6900000,17.3450000,17.3650000,10895565
20170510,000000,17.3700000,17.6500000,17.0600000,17.4700000,15934008
20170511,000000,17.5000000,17.5950000,17.1550000,17.3150000,10492150
20170512,000000,17.2850000,17.4000000,17.0750000,17.1050000,7460212
20170515,000000,17.3800000,17.6100000,17.2900000,17.5850000,7857400
20170516,000000,17.3850000,17.6600000,17.3500000,17.3950000,8464151
20170517,000000,17.3300000,17.5100000,16.7650000,16.8890000,14832985
20170518,000000,16.9100000,17.0000000,16.4200000,16.7650000,18059821
20170519,000000,16.8300000,17.1100000,16.6300000,17.0950000,12742829
20170522,000000,17.1850000,17.3050000,16.9200000,16.9700000,6983101
20170523,000000,16.9300000,17.2650000,16.9050000,17.1150000,7328121
20170524,000000,17.1250000,17.1700000,16.8200000,16.9050000,6408492
20170525,000000,16.9800000,17.1100000,16.6750000,16.8600000,6134784
20170526,000000,16.7600000,16.8050000,16.3750000,16.5050000,10461424
20170529,000000,16.5100000,16.5340000,16.3200000,16.4050000,4157793
20170530,000000,16.3050000,16.3800000,16.0550000,16.1600000,10047269
20170531,000000,16.1050000,16.1750000,15.6400000,15.6450000,15019811
20170601,000000,15.6000000,15.6450000,15.3300000,15.5950000,12893344
20170602,000000,15.8000000,16.0500000,15.5150000,15.5550000,12494152
20170606,000000,15.3450000,15.4650000,15.2960000,15.3300000,6759938
20170607,000000,15.3000000,15.6300000,15.2250000,15.4550000,9315881
20170608,000000,15.5000000,15.7300000,15.3200000,15.5950000,11030485
20170609,000000,15.6500000,15.9000000,15.5300000,15.7900000,9435701
20170612,000000,15.8000000,15.8450000,15.4950000,15.5000000,7874356
20170613,000000,15.5700000,15.6450000,15.4900000,15.5450000,5880603
20170614,000000,15.6300000,15.6900000,15.2350000,15.3100000,11056772
20170615,000000,15.4000000,15.4350000,15.0400000,15.1400000,12029968
20170616,000000,15.1800000,15.3400000,14.8750000,15.0340000,19287855
20170619,000000,15.1200000,15.4400000,15.0900000,15.3650000,9544654
20170620,000000,15.4900000,15.6500000,15.2250000,15.2500000,9178202
20170621,000000,15.1600000,15.2800000,14.9300000,15.1800000,8732354
20170622,000000,15.1550000,15.1850000,14.8650000,15.0500000,10268732
20170623,000000,15.0350000,15.1150000,14.8750000,14.9300000,7628560
20170626,000000,14.9750000,15.1900000,14.9600000,15.0450000,7254083
20170627,000000,15.0400000,15.6000000,14.9750000,15.5350000,12907984
20170628,000000,15.5050000,15.7700000,15.3750000,15.7600000,13308006
20170629,000000,15.9650000,16.1900000,15.7900000,15.8300000,17023065
20170630,000000,15.8800000,15.9500000,15.5450000,15.5600000,9586826
20170703,000000,15.6500000,16.0950000,15.6200000,16.0850000,8200356
20170704,000000,15.9250000,16.5450000,15.8300000,16.4400000,10416425
20170705,000000,16.3550000,16.5300000,16.0650000,16.3900000,13020008
20170706,000000,16.4900000,16.7800000,16.3900000,16.6700000,13839036
20170707,000000,16.6950000,16.8250000,16.4500000,16.6600000,11426132
20170710,000000,16.8000000,16.9050000,16.5150000,16.5800000,8129863
20170711,000000,16.6550000,16.8450000,16.5350000,16.5600000,8484022
20170712,000000,16.6100000,16.7100000,16.3300000,16.4600000,12828644
20170713,000000,16.4750000,16.6500000,16.4350000,16.5150000,8196471
20170714,000000,16.5550000,16.5800000,16.2100000,16.3650000,9578827
20170717,000000,16.4700000,16.4750000,16.2650000,16.3700000,5111673
20170718,000000,16.3400000,16.3450000,15.8600000,15.9650000,10163011
20170719,000000,16.0100000,16.0350000,15.8150000,15.9050000,6592061
20170720,000000,15.9900000,16.0650000,15.7850000,15.8200000,11314070
20170721,000000,15.7950000,15.8200000,15.5200000,15.6100000,12049210
20170724,000000,15.6200000,16.0250000,15.5100000,15.9550000,9031347
20170725,000000,16.0500000,16.5000000,16.0200000,16.4400000,10950407
20170726,000000,16.3150000,16.6400000,16.3100000,16.5650000,8683002
20170727,000000,16.0000000,16.2000000,15.5000000,15.5050000,25182117
20170728,000000,15.4700000,15.6300000,15.3500000,15.4200000,14807054
20170731,000000,15.4200000,15.5350000,14.9900000,15.1050000,12606212
20170801,000000,15.1900000,15.4100000,14.9900000,15.2900000,10787930
20170802,000000,15.3650000,15.4000000,15.1000000,15.1350000,8549699
20170803,000000,15.1050000,15.3300000,15.0050000,15.2750000,8375128
20170804,000000,15.2200000,15.6500000,15.1650000,15.6200000,9711596
20170807,000000,15.6500000,15.6700000,15.4450000,15.4800000,5859531
20170808,000000,15.3650000,15.5250000,15.2300000,15.4700000,6933396
20170809,000000,15.2000000,15.2700000,14.7600000,14.8700000,16755456
20170810,000000,14.9100000,14.9200000,14.4050000,14.4100000,14930479
20170811,000000,14.3000000,14.4000000,13.9550000,14.2000000,17084155
20170814,000000,14.4900000,14.7600000,14.4500000,14.6850000,10606623
