<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170420,000000,59.2000000,59.2000000,55.5000000,58.0000000,990
20170421,000000,60.8000000,60.8000000,55.6000000,58.0000000,2270
20170424,000000,58.0000000,58.0000000,56.2000000,56.3000000,3300
20170425,000000,57.5000000,57.9000000,57.5000000,57.9000000,980
20170426,000000,57.0000000,58.2000000,55.0000000,56.2000000,6720
20170427,000000,55.3000000,57.5000000,55.2000000,57.5000000,170
20170428,000000,56.6000000,59.0000000,55.1000000,56.9000000,1550
20170502,000000,57.0000000,57.5000000,57.0000000,57.0000000,420
20170503,000000,57.1000000,57.1000000,56.0000000,56.0000000,1470
20170504,000000,56.2000000,56.9000000,55.2000000,56.9000000,220
20170505,000000,55.4000000,56.4000000,51.7000000,56.0000000,690
20170510,000000,55.4000000,56.4000000,54.0000000,55.0000000,1270
20170511,000000,55.4000000,55.7000000,55.0000000,55.0000000,300
20170512,000000,55.1000000,56.0000000,53.6000000,53.6000000,840
20170515,000000,54.5000000,55.1000000,53.7000000,54.2000000,200
20170516,000000,52.9000000,54.3000000,52.9000000,54.3000000,80
20170517,000000,53.4000000,61.8000000,53.2000000,54.3000000,1100
20170518,000000,55.0000000,55.9000000,53.6000000,55.6000000,400
20170519,000000,55.2000000,55.2000000,50.1000000,53.0000000,1050
20170522,000000,54.0000000,54.9000000,53.2000000,54.9000000,100
20170523,000000,53.1000000,54.3000000,53.0000000,54.0000000,280
20170524,000000,55.2000000,55.2000000,53.0000000,53.0000000,500
20170525,000000,53.1000000,53.1000000,51.0000000,51.8000000,2890
20170526,000000,52.1000000,52.1000000,50.9000000,51.5000000,2350
20170529,000000,50.3000000,51.2000000,50.1000000,50.8000000,230
20170530,000000,50.2000000,51.3000000,50.2000000,51.3000000,50
20170601,000000,50.2000000,52.0000000,50.0000000,51.6000000,2080
20170602,000000,51.9000000,51.9000000,51.2000000,51.5000000,810
20170605,000000,52.9000000,55.0000000,50.8000000,53.5000000,820
20170606,000000,53.0000000,53.0000000,52.1000000,53.0000000,440
20170607,000000,57.6000000,57.6000000,52.8000000,53.5000000,340
20170608,000000,52.1000000,52.9000000,52.1000000,52.6000000,90
20170609,000000,55.1000000,55.1000000,51.2000000,53.5000000,330
20170613,000000,49.0000000,51.9000000,47.0000000,51.8000000,280
20170614,000000,51.5000000,52.5000000,51.0000000,51.0000000,100
20170615,000000,50.6000000,52.6000000,50.5000000,51.8000000,160
20170616,000000,51.8000000,51.8000000,50.5000000,50.5000000,110
20170619,000000,50.6000000,51.9000000,50.6000000,51.6000000,230
20170620,000000,51.6000000,52.1000000,51.5000000,51.5000000,100
20170621,000000,52.4000000,52.5000000,52.0000000,52.5000000,70
20170622,000000,52.0000000,52.5000000,51.4000000,51.4000000,60
20170623,000000,52.5000000,52.5000000,52.5000000,52.5000000,10
20170626,000000,51.5000000,52.4000000,51.0000000,51.8000000,130
20170627,000000,52.0000000,52.0000000,51.3000000,51.9000000,40
20170628,000000,51.9000000,54.0000000,51.9000000,52.7000000,260
20170629,000000,52.9000000,52.9000000,52.9000000,52.9000000,10
20170630,000000,53.9000000,53.9000000,51.1000000,51.6000000,610
20170703,000000,52.7000000,52.7000000,51.3000000,51.3000000,80
20170704,000000,51.3000000,53.9000000,50.0000000,50.6000000,480
20170705,000000,50.8000000,51.9000000,50.8000000,50.8000000,160
20170706,000000,52.6000000,52.6000000,51.3000000,52.0000000,140
20170707,000000,51.3000000,53.7000000,51.3000000,53.7000000,170
20170710,000000,51.9000000,54.0000000,51.9000000,54.0000000,140
20170711,000000,52.9000000,54.1000000,52.9000000,53.7000000,90
20170712,000000,53.4000000,53.4000000,52.0000000,52.1000000,130
20170713,000000,52.1000000,53.3000000,51.5000000,51.6000000,310
20170714,000000,51.3000000,51.6000000,50.0000000,51.6000000,230
20170718,000000,50.8000000,51.3000000,50.3000000,51.3000000,60
20170721,000000,51.9000000,51.9000000,51.9000000,51.9000000,10
20170724,000000,50.5000000,51.5000000,50.4000000,51.0000000,320
20170725,000000,52.0000000,52.7000000,51.3000000,52.4000000,240
20170727,000000,51.9000000,53.4000000,51.9000000,53.4000000,210
20170728,000000,52.3000000,52.3000000,50.0000000,51.1000000,2170
20170731,000000,50.2000000,50.9000000,49.9000000,50.9000000,180
20170801,000000,50.9000000,51.0000000,50.9000000,51.0000000,240
20170802,000000,50.1000000,53.4000000,50.1000000,53.4000000,1150
20170808,000000,54.0000000,54.1000000,53.0000000,53.0000000,60
20170809,000000,52.7000000,54.8000000,52.0000000,54.2000000,80
20170810,000000,52.1000000,54.0000000,51.6000000,52.9000000,200
